term	valence	score	VADER-score	standard deviation	human raters
stimulated	positive	0,225	0,9	0.7	[1, 0, 0, 0, 1, 1, 2, 1, 2, 1]
stimulates	positive	0,25	1	0.89443	[1, 0, 0, 0, 1, 1, 2, 1, 3, 1]
stimulating	positive	0,475	1,9	0.7	[2, 3, 2, 1, 3, 2, 1, 2, 1, 2]
stingy	negative	-0,4	-1,6	0.8	[-1, 0, -2, -2, -1, -1, -2, -2, -3, -2]
stink	negative	-0,425	-1,7	0.64031	[-2, -2, -1, -3, -2, -1, -1, -2, -1, -2]
stinkard	negative	-0,575	-2,3	0.9	[-2, -3, -3, -2, -3, -2, -3, -3, 0, -2]
stinkards	negative	-0,25	-1	1.26491	[-2, -1, 2, -2, -1, -1, 0, -3, -1, -1]
stinkbug	negative	-0,05	-0,2	0.4	[-1, 0, 0, 0, 0, 0, 0, 0, -1, 0]
stinkbugs	negative	-0,25	-1	1.26491	[0, 0, 0, -4, -1, -2, -1, 0, -2, 0]
stinker	negative	-0,375	-1,5	0.80623	[-3, -1, -3, -1, -1, -2, -1, -1, -1, -1]
stinkers	negative	-0,3	-1,2	1.07703	[-3, 1, -1, -2, -2, -1, -1, -2, 0, -1]
stinkhorn	negative	-0,05	-0,2	1.16619	[-2, -2, 0, 0, -1, 0, 1, 2, 0, 0]
stinkhorns	negative	-0,2	-0,8	0.9798	[0, -3, 0, -2, 0, 0, -1, -1, -1, 0]
stinkier	negative	-0,375	-1,5	1.0247	[-2, -1, -2, -2, -1, 1, -2, -1, -3, -2]
stinkiest	negative	-0,525	-2,1	1.57797	[-1, -2, -3, -4, -2, -1, 1, -4, -1, -4]
stinking	negative	-0,6	-2,4	0.91652	[-2, -4, -2, -3, -3, -1, -2, -1, -3, -3]
stinkingly	negative	-0,325	-1,3	1.55242	[-2, -3, -3, -2, -2, 1, -2, 2, -1, -1]
stinko	negative	-0,375	-1,5	0.80623	[-1, -2, -2, -2, 0, -1, -2, -1, -1, -3]
stinkpot	negative	-0,625	-2,5	0.92195	[-4, -1, -3, -4, -2, -2, -3, -2, -2, -2]
stinkpots	negative	-0,175	-0,7	1.26886	[-1, -3, -2, -1, 0, 2, 0, -1, 0, -1]
stinks	negative	-0,25	-1	1.34164	[-2, -2, -1, -2, 2, -1, -2, 1, -1, -2]
stinkweed	negative	-0,1	-0,4	1.0198	[-2, 0, -1, 0, 2, 0, -1, -1, 0, -1]
stinkwood	negative	-0,025	-0,1	1.13578	[0, -2, 0, 0, 0, -2, 1, 0, 2, 0]
stinky	negative	-0,375	-1,5	0.5	[-2, -1, -1, -2, -1, -1, -2, -2, -1, -2]
stolen	negative	-0,55	-2,2	0.9798	[-3, -2, -2, -1, -3, -2, -3, 0, -3, -3]
stop	negative	-0,3	-1,2	0.87178	[-1, 0, -2, -2, 0, -1, -2, -2, 0, -2]
stopped	negative	-0,225	-0,9	0.53852	[-1, -1, -1, -1, -2, -1, -1, -1, 0, 0]
stopping	negative	-0,15	-0,6	0.66332	[-1, 0, 0, -1, 0, 0, 0, -1, -2, -1]
stops	negative	-0,15	-0,6	0.8	[-1, -1, 0, 0, -2, 0, -2, 0, 0, 0]
stout	positive	0,175	0,7	1.34536	[2, 0, 3, 1, 2, 1, 0, 0, -2, 0]
straight	positive	0,225	0,9	1.04403	[2, 0, 1, 0, 0, 0, 1, 2, 3, 0]
strain	negative	-0,05	-0,2	0.9798	[0, 0, -2, 0, -1, 2, 0, -1, 0, 0]
strained	negative	-0,425	-1,7	0.78102	[0, -2, -1, -1, -2, -2, -2, -3, -2, -2]
strainer	negative	-0,2	-0,8	1.249	[2, -2, -1, 0, -1, 0, -2, 0, -2, -2]
strainers	negative	-0,075	-0,3	0.45826	[0, 0, 0, 0, -1, -1, 0, -1, 0, 0]
straining	negative	-0,325	-1,3	0.78102	[0, -3, -2, -1, -1, -1, -1, -1, -2, -1]
strains	negative	-0,3	-1,2	0.4	[-1, -1, -1, -2, -1, -2, -1, -1, -1, -1]
strange	negative	-0,2	-0,8	0.74833	[0, -1, -1, 0, -2, 0, -1, -2, 0, -1]
strangely	negative	-0,3	-1,2	0.87178	[0, -1, -2, -2, 0, -3, -1, -1, -1, -1]
strangled	negative	-0,625	-2,5	1.0247	[-1, -1, -3, -3, -3, -3, -1, -4, -3, -3]
strength	positive	0,55	2,2	0.6	[1, 2, 2, 3, 2, 3, 3, 2, 2, 2]
strengthen	positive	0,325	1,3	0.64031	[1, 1, 2, 1, 2, 1, 2, 0, 2, 1]
strengthened	positive	0,45	1,8	0.4	[2, 2, 2, 2, 1, 2, 2, 1, 2, 2]
strengthener	positive	0,45	1,8	0.6	[2, 0, 2, 2, 2, 2, 2, 2, 2, 2]
strengtheners	positive	0,35	1,4	0.91652	[1, 2, 1, 2, 3, 0, 2, 0, 2, 1]
strengthening	positive	0,55	2,2	0.74833	[3, 3, 1, 1, 2, 2, 2, 2, 3, 3]
strengthens	positive	0,5	2	0.63246	[3, 2, 1, 2, 2, 3, 2, 1, 2, 2]
strengths	positive	0,425	1,7	0.64031	[2, 1, 3, 1, 2, 1, 2, 1, 2, 2]
stress	negative	-0,45	-1,8	0.6	[-1, -2, -2, -1, -2, -1, -2, -3, -2, -2]
stressed	negative	-0,35	-1,4	0.4899	[-1, -1, -1, -2, -2, -1, -2, -2, -1, -1]
stresses	negative	-0,5	-2	1.0	[-3, -3, -2, -1, -2, 0, -2, -1, -3, -3]
stressful	negative	-0,575	-2,3	0.45826	[-2, -2, -2, -2, -3, -3, -2, -3, -2, -2]
stressfully	negative	-0,65	-2,6	0.66332	[-2, -3, -1, -3, -3, -3, -3, -2, -3, -3]
stressing	negative	-0,375	-1,5	0.67082	[-1, -2, -1, -1, -3, -1, -2, -2, -1, -1]
stressless	positive	0,4	1,6	0.4899	[1, 2, 1, 2, 1, 2, 1, 2, 2, 2]
stresslessness	positive	0,4	1,6	0.8	[1, 3, 1, 3, 2, 1, 2, 1, 1, 1]
stressor	negative	-0,45	-1,8	0.74833	[-2, -1, -1, -2, -3, -2, -1, -2, -3, -1]
stressors	negative	-0,525	-2,1	0.83066	[-3, -2, -2, -2, -3, -1, -3, -1, -1, -3]
stricken	negative	-0,575	-2,3	0.9	[0, -2, -2, -2, -2, -3, -3, -3, -3, -3]
strike	negative	-0,125	-0,5	1.11803	[0, 0, 0, -2, -2, 1, 1, -2, -1, 0]
strikers	negative	-0,15	-0,6	1.0198	[0, 0, -2, -3, 0, 0, -1, 0, 0, 0]
strikes	negative	-0,375	-1,5	0.92195	[0, -2, -2, -2, -3, -1, -2, -1, 0, -2]
strong	positive	0,575	2,3	0.78102	[3, 2, 3, 3, 1, 1, 3, 2, 2, 3]
strongbox	positive	0,175	0,7	0.78102	[2, 1, 0, 0, 0, 1, 2, 1, 0, 0]
strongboxes	positive	0,075	0,3	0.64031	[0, 0, 0, 0, 0, 1, 0, 2, 0, 0]
stronger	positive	0,4	1,6	0.66332	[2, 1, 1, 1, 2, 3, 2, 1, 2, 1]
strongest	positive	0,475	1,9	0.9434	[2, 3, 2, 1, 2, 2, 0, 3, 1, 3]
stronghold	positive	0,125	0,5	0.80623	[0, 2, 0, 0, 2, 0, 0, 0, 0, 1]
strongholds	positive	0,25	1	0.89443	[2, 2, 0, 1, 2, 2, 1, 0, 0, 0]
strongish	positive	0,425	1,7	0.78102	[1, 1, 2, 3, 1, 2, 1, 3, 2, 1]
strongly	positive	0,275	1,1	0.83066	[0, 0, 2, 2, 0, 1, 2, 2, 1, 1]
strongman	positive	0,175	0,7	1.00499	[0, 1, 3, 0, 1, -1, 1, 1, 0, 1]
strongmen	positive	0,125	0,5	1.11803	[-1, 0, 0, 3, 0, 1, 0, 2, 0, 0]
strongyl	positive	0,15	0,6	1.0198	[0, 1, 0, 0, 0, 0, 0, 2, 3, 0]
strongyles	positive	0,05	0,2	1.07703	[0, -2, 1, 1, -1, 1, 0, 0, 2, 0]
strongyloidosis	negative	-0,2	-0,8	1.66132	[-2, -3, 0, 0, -2, -2, 2, -2, 2, -1]
strongyls	positive	0,025	0,1	0.3	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
struck	negative	-0,25	-1	0.89443	[-1, -2, -1, 0, -2, -2, -1, -1, 1, -1]
struggle	negative	-0,325	-1,3	0.45826	[-2, -1, -2, -1, -2, -1, -1, -1, -1, -1]
struggled	negative	-0,35	-1,4	0.66332	[-2, -2, -1, -1, -1, -1, -2, -2, 0, -2]
struggler	negative	-0,275	-1,1	0.7	[-1, -1, -1, -1, 0, -1, -2, -2, 0, -2]
strugglers	negative	-0,35	-1,4	0.4899	[-1, -2, -1, -1, -2, -1, -2, -2, -1, -1]
struggles	negative	-0,375	-1,5	0.5	[-2, -2, -1, -1, -1, -1, -2, -2, -1, -2]
struggling	negative	-0,45	-1,8	0.6	[-2, -2, -2, -2, -1, -1, -2, -2, -3, -1]
stubborn	negative	-0,425	-1,7	1.00499	[0, -1, -2, -2, -2, -4, -1, -2, -1, -2]
stubborner	negative	-0,375	-1,5	1.20416	[-2, -3, -1, -1, -2, 1, -3, -2, 0, -2]
stubbornest	negative	-0,15	-0,6	1.62481	[-2, 4, -2, -1, -1, 0, -1, -1, -1, -1]
stubbornly	negative	-0,35	-1,4	0.4899	[-2, -2, -1, -2, -1, -1, -2, -1, -1, -1]
stubbornness	negative	-0,275	-1,1	0.53852	[-1, -1, 0, -2, -1, -1, -1, -2, -1, -1]
stubbornnesses	negative	-0,375	-1,5	0.80623	[-1, -2, -3, -1, -1, -3, -1, -1, -1, -1]
stuck	negative	-0,25	-1	0.44721	[-1, -1, -1, -1, 0, -1, -1, -1, -1, -2]
stunk	negative	-0,4	-1,6	1.68523	[-2, -2, -3, 2, -2, -3, -3, 1, -1, -3]
stunned	negative	-0,1	-0,4	1.28062	[-1, -3, -1, 0, -1, -1, 0, 2, 1, 0]
stunning	positive	0,4	1,6	1.42829	[0, 0, 3, 2, 2, 4, 3, 0, 2, 0]
stuns	positive	0,025	0,1	1.04403	[1, 0, -1, -2, 0, 1, 1, -1, 1, 1]
stupid	negative	-0,6	-2,4	0.66332	[-2, -3, -3, -2, -3, -3, -2, -1, -2, -3]
stupider	negative	-0,625	-2,5	0.5	[-3, -2, -3, -3, -2, -2, -3, -2, -3, -2]
stupidest	negative	-0,6	-2,4	0.66332	[-2, -3, -2, -3, -1, -3, -3, -2, -2, -3]
stupidities	negative	-0,5	-2	0.7746	[-2, -3, -2, -1, -3, -1, -3, -1, -2, -2]
stupidity	negative	-0,475	-1,9	0.3	[-2, -2, -2, -2, -2, -2, -1, -2, -2, -2]
stupidly	negative	-0,5	-2	0.7746	[-1, -2, -3, -3, -1, -3, -2, -1, -2, -2]
stupidness	negative	-0,425	-1,7	0.64031	[-3, -1, -2, -1, -2, -1, -2, -2, -1, -2]
stupidnesses	negative	-0,65	-2,6	0.8	[-2, -2, -2, -4, -4, -3, -3, -2, -2, -2]
stupids	negative	-0,575	-2,3	0.64031	[-2, -3, -1, -3, -2, -3, -3, -2, -2, -2]
stutter	negative	-0,25	-1	0.0	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
stuttered	negative	-0,225	-0,9	1.04403	[-1, -1, 2, -1, -1, -1, -2, -2, -1, -1]
stutterer	negative	-0,25	-1	1.18322	[-1, -1, 2, -1, -1, -1, -3, -2, -1, -1]
stutterers	negative	-0,275	-1,1	0.53852	[-1, -1, -1, 0, -1, -1, -2, -2, -1, -1]
stuttering	negative	-0,325	-1,3	0.9	[-1, -1, -1, 0, -3, -1, -1, -1, -3, -1]
stutters	negative	-0,25	-1	0.63246	[-1, -1, -1, -2, 0, -2, 0, -1, -1, -1]
suave	positive	0,5	2	0.44721	[2, 3, 2, 2, 2, 1, 2, 2, 2, 2]
submissive	negative	-0,325	-1,3	0.9	[-1, 0, -1, -3, -1, 0, -1, -2, -2, -2]
submissively	negative	-0,25	-1	1.18322	[-1, -1, -1, -1, 2, -1, -1, -2, -3, -1]
submissiveness	negative	-0,175	-0,7	0.78102	[-2, 0, -1, 0, -1, 0, -2, 0, -1, 0]
substantial	positive	0,2	0,8	0.6	[2, 0, 1, 1, 0, 0, 1, 1, 1, 1]
subversive	negative	-0,225	-0,9	1.81384	[-3, 0, -4, -1, -2, -1, 2, -1, 2, -1]
succeed	positive	0,55	2,2	0.74833	[2, 3, 2, 2, 2, 1, 2, 4, 2, 2]
succeeded	positive	0,45	1,8	0.87178	[2, 2, 1, 2, 2, 0, 2, 3, 3, 1]
succeeder	positive	0,3	1,2	1.07703	[1, 0, 0, 2, 2, 0, 0, 3, 2, 2]
succeeders	positive	0,325	1,3	0.64031	[2, 0, 2, 1, 2, 1, 1, 1, 1, 2]
succeeding	positive	0,55	2,2	1.16619	[2, 3, 0, 3, 4, 3, 1, 1, 2, 3]
succeeds	positive	0,55	2,2	0.9798	[4, 1, 4, 1, 2, 2, 2, 2, 2, 2]
success	positive	0,675	2,7	0.64031	[4, 3, 2, 2, 3, 2, 3, 3, 2, 3]
successes	positive	0,65	2,6	0.66332	[2, 4, 3, 3, 2, 3, 2, 2, 3, 2]
successful	positive	0,7	2,8	0.6	[3, 3, 2, 3, 4, 3, 3, 3, 2, 2]
successfully	positive	0,55	2,2	0.6	[2, 2, 1, 2, 2, 2, 3, 3, 2, 3]
successfulness	positive	0,675	2,7	0.78102	[3, 3, 4, 3, 3, 2, 3, 2, 1, 3]
succession	positive	0,2	0,8	0.87178	[2, 0, 1, 2, 0, 2, 1, 0, 0, 0]
successional	positive	0,225	0,9	1.04403	[0, 1, 0, 2, 3, 0, 0, 1, 2, 0]
successionally	positive	0,275	1,1	1.13578	[2, 2, 0, 0, 0, 0, 2, 3, 0, 2]
successions	positive	0,025	0,1	0.3	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
successive	positive	0,275	1,1	1.13578	[3, 0, 0, 1, 3, 2, 1, 0, 1, 0]
successively	positive	0,225	0,9	1.04403	[1, 0, 0, 1, 3, 0, 2, 0, 2, 0]
successiveness	positive	0,25	1	1.0	[0, 1, 2, 0, 3, 1, 1, 2, 0, 0]
successor	positive	0,225	0,9	0.83066	[0, 2, 0, 0, 1, 2, 2, 1, 1, 0]
successors	positive	0,275	1,1	1.04403	[2, 0, 1, 2, 0, 1, 3, 0, 2, 0]
suck	negative	-0,475	-1,9	1.04403	[-1, -1, -1, -2, -1, -1, -3, -4, -3, -2]
sucked	negative	-0,5	-2	0.89443	[-2, -2, -1, -1, -1, -3, -4, -2, -2, -2]
sucker	negative	-0,6	-2,4	1.2	[-3, -1, -1, -2, -1, -4, -4, -2, -4, -2]
suckered	negative	-0,5	-2	1.0	[-2, -1, -1, -3, -3, -1, -1, -2, -2, -4]
suckering	negative	-0,525	-2,1	0.7	[-2, -3, -2, -1, -2, -3, -3, -2, -1, -2]
suckers	negative	-0,575	-2,3	1.00499	[-2, -1, -2, -4, -1, -2, -3, -2, -4, -2]
sucks	negative	-0,375	-1,5	1.28452	[-1, -2, -2, -1, -3, -4, -1, 1, -1, -1]
sucky	negative	-0,475	-1,9	0.9434	[-1, -2, -2, -1, -2, -4, -1, -1, -3, -2]
suffer	negative	-0,625	-2,5	0.67082	[-3, -3, -2, -2, -3, -3, -3, -2, -1, -3]
suffered	negative	-0,55	-2,2	0.74833	[-3, -2, -1, -3, -2, -3, -1, -3, -2, -2]
sufferer	negative	-0,5	-2	0.63246	[-3, -2, -2, -2, -2, -3, -1, -2, -2, -1]
sufferers	negative	-0,6	-2,4	0.8	[-1, -3, -3, -2, -1, -2, -3, -3, -3, -3]
suffering	negative	-0,525	-2,1	0.83066	[-2, -1, -3, -2, -1, -2, -3, -3, -1, -3]
suffers	negative	-0,525	-2,1	0.7	[-3, -2, -1, -2, -2, -2, -3, -1, -3, -2]
suicidal	negative	-0,875	-3,5	0.67082	[-4, -4, -4, -4, -3, -4, -3, -3, -2, -4]
suicide	negative	-0,875	-3,5	0.67082	[-4, -3, -4, -4, -4, -2, -3, -4, -4, -3]
suing	negative	-0,275	-1,1	1.13578	[1, -1, -1, 0, -1, -3, -1, -1, -3, -1]
sulking	negative	-0,375	-1,5	0.67082	[-2, -1, -3, -1, -1, -2, -1, -2, -1, -1]
sulky	negative	-0,2	-0,8	1.77764	[-3, 3, -2, -3, 0, -2, 0, -1, 1, -1]
sullen	negative	-0,425	-1,7	1.00499	[0, -2, -2, -1, -1, -4, -2, -1, -2, -2]
sunnier	positive	0,575	2,3	0.64031	[3, 2, 3, 2, 3, 2, 2, 1, 3, 2]
sunniest	positive	0,6	2,4	1.28062	[2, 0, 4, 2, 1, 3, 2, 4, 4, 2]
sunny	positive	0,45	1,8	0.87178	[2, 2, 1, 2, 0, 2, 3, 3, 2, 1]
sunshine	positive	0,55	2,2	0.6	[3, 1, 2, 2, 2, 2, 2, 3, 3, 2]
sunshiny	positive	0,475	1,9	0.7	[2, 2, 3, 1, 2, 2, 1, 3, 1, 2]
super	positive	0,725	2,9	0.7	[4, 2, 4, 3, 3, 3, 2, 3, 2, 3]
superb	positive	0,775	3,1	0.9434	[3, 4, 2, 4, 3, 1, 3, 3, 4, 4]
superior	positive	0,625	2,5	1.11803	[2, 3, 1, 3, 3, 0, 3, 3, 4, 3]
superiorities	positive	0,2	0,8	1.6	[-1, 1, 3, -1, -1, 2, 2, 1, 3, -1]
superiority	positive	0,35	1,4	1.2	[0, 1, -1, 3, 1, 2, 2, 2, 3, 1]
superiorly	positive	0,55	2,2	1.4	[4, 3, 1, 2, 3, -1, 2, 4, 2, 2]
superiors	positive	0,25	1	1.0	[3, 0, 0, 1, 2, 1, 1, 2, 0, 0]
support	positive	0,425	1,7	0.9	[1, 1, 1, 2, 1, 3, 3, 3, 1, 1]
supported	positive	0,325	1,3	0.45826	[2, 1, 2, 1, 1, 2, 1, 1, 1, 1]
supporter	positive	0,275	1,1	0.3	[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]
supporters	positive	0,475	1,9	0.7	[1, 1, 1, 2, 2, 3, 2, 2, 3, 2]
supporting	positive	0,475	1,9	0.9434	[3, 2, 1, 1, 3, 3, 1, 1, 3, 1]
supportive	positive	0,3	1,2	0.4	[1, 1, 1, 1, 1, 2, 2, 1, 1, 1]
supportiveness	positive	0,375	1,5	1.11803	[3, 1, 2, 1, 3, 2, 2, 1, -1, 1]
supports	positive	0,375	1,5	0.67082	[2, 1, 2, 0, 2, 2, 2, 1, 1, 2]
supremacies	positive	0,2	0,8	1.72047	[3, -2, 3, 0, 0, 2, -1, 3, 0, 0]
supremacist	positive	0,125	0,5	2.15639	[3, 2, -3, 1, 2, 2, 2, -2, 1, -3]
supremacists	negative	-0,25	-1	1.89737	[-4, -2, -1, -3, -2, 2, 2, 0, 0, -2]
supremacy	positive	0,05	0,2	1.77764	[-1, -2, 0, 3, 2, 0, -3, 0, 1, 2]
suprematists	positive	0,1	0,4	1.56205	[2, 1, 0, 0, 2, 2, 2, -2, -1, -2]
supreme	positive	0,65	2,6	1.11355	[2, 3, 2, 1, 4, 2, 1, 3, 4, 4]
supremely	positive	0,675	2,7	1.00499	[2, 4, 1, 4, 2, 4, 2, 3, 2, 3]
supremeness	positive	0,575	2,3	0.64031	[1, 2, 2, 3, 3, 2, 2, 3, 3, 2]
supremer	positive	0,575	2,3	1.1	[4, 3, 3, 0, 1, 2, 3, 2, 3, 2]
supremest	positive	0,55	2,2	1.98997	[4, 3, 1, 0, 4, 4, -2, 3, 1, 4]
supremo	positive	0,475	1,9	1.3	[1, 0, 3, 0, 4, 3, 1, 3, 2, 2]
supremos	positive	0,325	1,3	0.78102	[0, 2, 2, 1, 0, 2, 2, 1, 2, 1]
sure	positive	0,325	1,3	0.64031	[1, 1, 3, 1, 1, 2, 1, 1, 1, 1]
surefire	positive	0,25	1	0.7746	[1, 1, 0, 2, 2, 1, 0, 1, 2, 0]
surefooted	positive	0,475	1,9	0.83066	[0, 3, 2, 2, 2, 2, 1, 2, 3, 2]
surefootedly	positive	0,4	1,6	0.91652	[1, 1, 2, 0, 2, 1, 3, 3, 1, 2]
surefootedness	positive	0,375	1,5	1.20416	[2, 1, 4, 1, 0, 3, 2, 1, 1, 0]
surely	positive	0,475	1,9	0.7	[2, 2, 2, 1, 1, 1, 3, 2, 3, 2]
sureness	positive	0,5	2	0.7746	[2, 3, 2, 1, 2, 1, 3, 3, 2, 1]
surer	positive	0,3	1,2	1.32665	[1, 1, 3, 1, 3, 2, 1, -2, 1, 1]
surest	positive	0,325	1,3	0.78102	[2, 0, 2, 2, 2, 1, 0, 1, 1, 2]
sureties	positive	0,325	1,3	0.9	[2, 0, 2, 0, 2, 2, 1, 2, 0, 2]
surety	positive	0,25	1	0.44721	[1, 1, 1, 1, 1, 0, 1, 1, 2, 1]
suretyship	negative	-0,025	-0,1	1.51327	[-1, 0, 0, -2, -1, 2, -2, 3, 0, 0]
suretyships	positive	0,1	0,4	0.66332	[0, 0, 0, 1, 0, 0, 1, 0, 0, 2]
surprisal	positive	0,375	1,5	0.80623	[3, 1, 1, 2, 1, 2, 2, 1, 2, 0]
surprisals	positive	0,175	0,7	1.1	[0, 0, 0, 0, 0, 0, 0, 2, 2, 3]
surprise	positive	0,275	1,1	1.04403	[0, 2, 0, 2, 3, 0, 1, 1, 2, 0]
surprised	positive	0,225	0,9	0.9434	[2, 0, 0, 0, 0, 2, 2, 1, 2, 0]
surpriser	positive	0,15	0,6	0.66332	[2, 0, 0, 0, 0, 1, 1, 1, 1, 0]
surprisers	positive	0,075	0,3	1.00499	[2, 0, 1, 1, 0, 0, -2, 1, 0, 0]
surprises	positive	0,225	0,9	0.7	[2, 0, 0, 0, 1, 1, 2, 1, 1, 1]
surprising	positive	0,275	1,1	0.9434	[1, 1, 1, 0, 0, 2, 0, 1, 3, 2]
surprisingly	positive	0,3	1,2	0.87178	[1, 0, 2, 0, 0, 2, 2, 1, 2, 2]
survived	positive	0,575	2,3	0.78102	[3, 4, 2, 2, 2, 1, 2, 3, 2, 2]
surviving	positive	0,3	1,2	0.87178	[1, 3, 1, 0, 2, 0, 1, 1, 1, 2]
survivor	positive	0,375	1,5	1.0247	[1, 3, 2, 3, 1, 0, 0, 1, 2, 2]
suspect	negative	-0,3	-1,2	0.9798	[0, -1, -1, -2, -2, -2, 1, -1, -2, -2]
suspected	negative	-0,225	-0,9	1.13578	[-1, 0, -1, -2, -1, -1, -2, 2, -2, -1]
suspecting	negative	-0,175	-0,7	1.34536	[-1, 2, -1, -1, -1, 1, -2, -1, -3, 0]
suspects	negative	-0,35	-1,4	0.91652	[-2, -2, -2, -1, -2, -1, -2, -2, 1, -1]
suspend	negative	-0,325	-1,3	0.64031	[0, -2, -1, -2, -1, -1, -2, -1, -2, -1]
suspended	negative	-0,525	-2,1	0.83066	[-2, -1, -2, -3, -3, -1, -3, -1, -2, -3]
suspicion	negative	-0,4	-1,6	0.91652	[-2, -2, -1, -2, 1, -2, -2, -2, -2, -2]
suspicions	negative	-0,375	-1,5	0.67082	[-1, -2, -1, -2, -1, -1, -3, -1, -2, -1]
suspicious	negative	-0,375	-1,5	0.67082	[-1, -2, -1, -1, -2, -1, -2, -1, -3, -1]
suspiciously	negative	-0,425	-1,7	0.45826	[-2, -2, -1, -2, -1, -2, -2, -1, -2, -2]
suspiciousness	negative	-0,3	-1,2	1.46969	[-2, -3, -2, -1, -1, 1, 2, -2, -2, -2]
sux	negative	-0,375	-1,5	0.92195	[-1, -1, -2, -1, -2, -1, -3, 0, -3, -1]
swear	negative	-0,05	-0,2	1.53623	[-2, 2, -1, 1, 1, 0, -1, -2, 2, -2]
swearing	negative	-0,25	-1	1.09545	[0, -2, -1, -1, -2, 0, 1, -3, -1, -1]
swears	positive	0,05	0,2	1.4	[1, -2, 2, 0, 1, -2, -1, 2, 1, 0]
sweet	positive	0,5	2	0.63246	[1, 2, 2, 2, 3, 3, 2, 1, 2, 2]
sweet<3	positive	0,75	3	0.44721	[3, 3, 3, 3, 4, 2, 3, 3, 3, 3]
sweetheart	positive	0,825	3,3	1.00499	[4, 1, 3, 4, 4, 4, 2, 3, 4, 4]
sweethearts	positive	0,7	2,8	0.87178	[2, 2, 2, 4, 3, 2, 4, 3, 4, 2]
sweetie	positive	0,55	2,2	0.6	[2, 3, 3, 2, 1, 3, 2, 2, 2, 2]
sweeties	positive	0,525	2,1	0.9434	[1, 2, 2, 3, 2, 1, 2, 4, 3, 1]
sweetly	positive	0,525	2,1	0.7	[1, 2, 2, 2, 2, 2, 1, 3, 3, 3]
sweetness	positive	0,55	2,2	0.74833	[3, 2, 3, 1, 2, 2, 3, 3, 2, 1]
sweets	positive	0,55	2,2	0.6	[2, 1, 3, 2, 2, 2, 3, 2, 3, 2]
swift	positive	0,2	0,8	0.6	[1, 0, 1, 1, 0, 2, 0, 1, 1, 1]
swiftly	positive	0,3	1,2	0.9798	[0, 3, 1, 0, 1, 1, 1, 3, 1, 1]
swindle	negative	-0,6	-2,4	1.0198	[-1, -4, -1, -3, -3, -2, -2, -2, -4, -2]
swindles	negative	-0,375	-1,5	0.92195	[0, -2, -2, -3, -2, -1, -1, 0, -2, -2]
swindling	negative	-0,5	-2	1.0	[-2, -2, -2, -4, -1, 0, -3, -2, -2, -2]
sympathetic	positive	0,575	2,3	0.64031	[3, 3, 2, 2, 3, 3, 2, 2, 1, 2]
sympathy	positive	0,375	1,5	1.11803	[-1, 2, 3, 2, 1, 1, 1, 2, 1, 3]
talent	positive	0,45	1,8	1.07703	[3, 1, 2, 2, 0, 3, 3, 2, 2, 0]
talented	positive	0,575	2,3	0.64031	[1, 2, 2, 3, 2, 3, 3, 2, 3, 2]
talentless	negative	-0,4	-1,6	0.4899	[-2, -2, -2, -1, -2, -1, -1, -1, -2, -2]
talents	positive	0,5	2	1.18322	[2, 4, 1, 2, 0, 2, 4, 2, 2, 1]
tantrum	negative	-0,45	-1,8	1.16619	[-3, -2, -2, -3, -1, 0, -1, 0, -3, -3]
tantrums	negative	-0,375	-1,5	1.36015	[-1, -2, -4, -2, -2, -1, -1, 0, 1, -3]
tard	negative	-0,625	-2,5	0.92195	[-3, -3, -3, -2, -2, -3, -1, -4, -1, -3]
tears	negative	-0,225	-0,9	1.13578	[0, -2, -2, -1, -1, -2, -2, 1, 1, -1]
teas	positive	0,075	0,3	0.45826	[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]
tease	negative	-0,325	-1,3	0.9	[0, -1, -1, -2, -1, 0, -3, -2, -1, -2]
teased	negative	-0,3	-1,2	0.87178	[0, -2, -2, -1, -1, -1, 0, -3, -1, -1]
teasel	negative	-0,025	-0,1	0.3	[0, -1, 0, 0, 0, 0, 0, 0, 0, 0]
teaseled	negative	-0,2	-0,8	0.74833	[-1, 0, -1, 0, 0, -1, -2, -1, -2, 0]
teaseler	negative	-0,2	-0,8	0.87178	[0, 0, -2, 0, 0, -1, -2, -1, -2, 0]
teaselers	negative	-0,3	-1,2	1.249	[0, -3, 0, 0, 0, -3, -2, -2, -2, 0]
teaseling	negative	-0,1	-0,4	0.91652	[-1, 0, -3, 0, 0, 0, 0, 0, 0, 0]
teaselled	negative	-0,1	-0,4	0.91652	[0, -3, 0, 0, 0, 0, -1, 0, 0, 0]
teaselling	negative	-0,05	-0,2	0.4	[0, 0, 0, 0, -1, 0, -1, 0, 0, 0]
teasels	negative	-0,025	-0,1	0.3	[0, 0, 0, 0, 0, 0, 0, 0, -1, 0]
teaser	negative	-0,25	-1	1.18322	[0, -1, -3, -1, -1, -1, 0, -3, -1, 1]
teasers	negative	-0,175	-0,7	1.1	[-1, -2, -3, -1, 0, 0, -1, 1, 0, 0]
teases	negative	-0,3	-1,2	0.74833	[-1, -1, 0, -1, -2, -1, -3, -1, -1, -1]
teashops	positive	0,05	0,2	0.4	[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]
