term	valence	score	VADER-score	standard deviation	human raters
freebased	positive	0,2	0,8	1.16619	[2, 0, -1, 0, 3, 0, 1, 2, 1, 0]
freebases	positive	0,2	0,8	1.249	[2, 0, -1, 0, 2, 0, 0, 3, 2, 0]
freebasing	negative	-0,1	-0,4	1.56205	[-4, -2, 0, 0, 1, 2, 0, -1, 0, 0]
freebee	positive	0,325	1,3	0.78102	[1, 2, 1, 1, 1, 0, 3, 2, 1, 1]
freebees	positive	0,325	1,3	1.26886	[2, 2, -2, 2, 2, 2, 0, 2, 1, 2]
freebie	positive	0,45	1,8	0.9798	[2, 1, 3, 2, 2, 4, 1, 1, 1, 1]
freebies	positive	0,45	1,8	0.9798	[2, 3, 1, 1, 2, 4, 1, 1, 2, 1]
freeboard	positive	0,075	0,3	0.64031	[0, 0, 0, 0, 0, 1, 0, 0, 0, 2]
freeboards	positive	0,175	0,7	0.9	[0, 0, 0, 1, 0, 0, 2, 2, 2, 0]
freeboot	negative	-0,175	-0,7	1.67631	[1, -2, -3, -2, -1, -2, -1, 2, -1, 2]
freebooter	negative	-0,425	-1,7	1.00499	[-2, -2, -3, -3, -2, -2, 0, -1, 0, -2]
freebooters	negative	-0,05	-0,2	1.32665	[-1, -3, 1, 0, -2, 1, 0, 1, 0, 1]
freebooting	negative	-0,2	-0,8	1.249	[-2, -2, -1, 2, -1, -1, -1, 1, -2, -1]
freeborn	positive	0,3	1,2	0.74833	[1, 0, 3, 1, 1, 1, 1, 1, 2, 1]
freed	positive	0,425	1,7	1.34536	[-2, 2, 3, 2, 2, 2, 3, 1, 2, 2]
freedman	positive	0,275	1,1	0.9434	[1, 2, 0, 1, 2, 1, 3, 0, 0, 1]
freedmen	positive	0,175	0,7	0.78102	[1, 2, 1, 2, 0, 1, 0, 0, 0, 0]
freedom	positive	0,8	3,2	0.9798	[4, 4, 1, 3, 2, 4, 4, 3, 3, 4]
freedoms	positive	0,3	1,2	1.07703	[2, 1, 1, 3, 2, 1, 2, 1, -1, 0]
freedwoman	positive	0,4	1,6	1.74356	[3, 2, 0, 4, 4, 3, 1, -1, 0, 0]
freedwomen	positive	0,325	1,3	0.78102	[2, 0, 2, 0, 2, 1, 1, 1, 2, 2]
freeform	positive	0,225	0,9	0.83066	[0, 0, 0, 2, 1, 2, 1, 1, 2, 0]
freehand	positive	0,125	0,5	0.80623	[0, 0, 0, 1, 0, 2, 0, 2, 0, 0]
